,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
2155,抄,平,肴,tsrhaew,L,chāo,caau1,초,8,1
2156,抆,上,吻,mjun,X,wèn,man5,문,6,0
2157,抉,入,屑,kwet,E,jué,kyut3,결,7,0
2158,把,上,馬,pae,X,bǎ,baa2,파,10,0
2159,抑,入,職,'ik,E,yì,jik1,억,13,0
2160,抒,上,語,zjo,X,shū,syu1,서,4,0
2161,抓,平,肴,tsraew,L,zhuā,zaau2,조,8,1
2162,抔,平,灰,phwoj,L,póu,pau4,부,5,1
2163,投,平,侯,duw,L,tóu,tau4,투,14,1
2164,抖,上,厚,tuw,X,dǒu,dau2,두,14,0
2165,抗,平,唐,hang,L,kàng,kong3,항,11,1
2166,折,平,齊,dej,L,zhé,zit3,절,5,1
2167,抛,平,肴,phaew,L,pāo,paau1,포,8,1
2168,抝,上,巧,'aew,X,ǎo,aau2,요,8,0
2169,抨,平,耕,pheang,L,pēng,ping1,평,12,1
2170,披,平,支,phje,L,pī,pei1,피,3,1
2171,抬,平,咍,doj,L,tái,toi4,태,5,1
2172,抱,平,灰,phwoj,L,bào,pou5,포,5,1
2173,抵,上,紙,tsye,X,dǐ,dai2,저,3,0
2174,抹,入,末,mat,E,mǒ,mut3,말,7,0
2175,押,入,狎,'aep,E,yā,aat3,압,16,0
2176,抽,平,尤,trhjuw,L,chōu,cau1,추,14,1
2177,拂,入,物,phjut,E,fú,fat1,불,6,0
2178,拄,上,麌,trju,X,zhǔ,zyu2,주,4,0
2179,拇,上,厚,muw,X,mǔ,mou5,무,14,0
2180,拈,平,添,nem,L,nián,nim1,염,16,1
2181,拉,入,合,lop,E,lā,laai1,납,16,0
2182,拊,上,麌,phju,X,fǔ,fu2,부,4,0
2183,拋,平,肴,phaew,L,pāo,paau1,포,8,1
2184,拌,平,桓,phan,L,bàn,bun6,반,7,1
2185,拍,入,陌,phaek,E,pāi,paak3,박,12,0
2186,拏,平,魚,nrjo,L,ná,naa4,나,4,1
2187,拐,上,蟹,gea,X,guǎi,gwaai2,괴,5,0
2188,拒,上,語,gjo,X,jù,keoi5,거,4,0
2189,拓,入,鐸,thak,E,tuò,tok3,척,11,0
2190,拔,入,月,bjot,E,bá,bat6,발,6,0
2191,拕,平,歌,tha,L,tuō,to1,타,9,1
2192,拖,平,歌,tha,L,tuō,to1,타,9,1
2193,拗,上,巧,'aew,X,ǎo,aau2,요,8,0
2194,拘,平,虞,kju,L,jū,keoi1,구,4,1
2195,拙,入,薛,tsywet,E,zhuó,zyut3,졸,7,0
2196,拚,去,問,pjun,H,pàn,pun3,변,6,0
2197,招,平,宵,tsyew,L,zhāo,ziu1,초,8,1
2198,拜,去,怪,peaj,H,bài,baai3,배,5,0
2199,拫,平,痕,hon,L,hén,hang4,흔,6,1
2200,括,入,末,kwat,E,kuò,kut3,괄,7,0
2201,拭,入,職,syik,E,shì,sik1,식,13,0
2202,拮,入,質,kjit,E,jié,git3,길,6,0
2203,拯,平,蒸,sying,L,zhěng,cing2,증,13,1
2204,拱,上,腫,kjowng,X,gǒng,gung2,공,1,0
2205,拳,平,仙,gjwen,L,quán,kyun4,권,7,1
2206,拴,平,仙,sjwen,L,shuān,saan1,전,7,1
2207,拶,入,曷,tsat,E,zǎn,zaat3,찰,7,0
2208,拼,平,耕,peang,L,pīn,ping1,평,12,1
2209,拾,入,緝,dzyip,E,shí,sap6,습,15,0
2210,持,平,之,dri,L,chí,ci4,지,3,1
2211,挂,去,卦,kwea,H,guà,gwaa3,괘,5,0
2212,指,上,旨,tsyij,X,zhǐ,zi2,지,3,0
2213,挈,入,屑,khet,E,qiè,kit3,설,7,0
2214,按,去,翰,'an,H,àn,on3,안,7,0
2215,挏,平,東,duwng,L,dòng,dung6,동,1,1
2216,挐,平,魚,nrjo,L,rú,jyu4,나,4,1
2217,挑,平,蕭,thew,L,tiāo,tiu1,도,8,1
2218,挟,入,怗,hep,E,xié,hip3,협,16,0
2219,挨,上,駭,'eaj,X,āi,aai1,애,5,0
2220,挪,平,歌,na,L,nuó,no4,나,9,1
2221,挫,去,卦,kea,H,cuò,co3,좌,5,0
2222,振,平,眞,tsyin,L,zhèn,zan3,진,6,1
2223,挱,平,歌,sa,L,suō,so1,사,9,1
2224,挲,平,歌,sa,L,suō,so1,사,9,1
2225,挹,入,緝,'jip,E,yì,jap1,읍,15,0
2226,挺,平,青,deng,L,tǐng,ting5,정,12,1
2227,挻,平,仙,syen,L,shān,saan1,연,7,1
2228,挼,平,脂,nywij,L,nuò,no4,뇌,3,1
2229,挽,上,阮,mjon,X,wǎn,waan5,만,6,0
2230,挾,入,怗,hep,E,xié,hip3,협,16,0
2231,捃,去,問,kjun,H,jùn,kwan2,군,6,0
2232,捄,平,虞,kju,L,jìu,kau4,구,4,1
2233,捉,入,覺,tsraewk,E,zhuō,zuk1,착,2,0
2234,捋,入,末,lwat,E,lè,lyut3,날,7,0
2235,捍,上,潸,haen,X,hàn,hon6,한,7,0
2236,捎,平,宵,sjew,L,shāo,saau1,소,8,1
2237,捏,入,屑,net,E,niē,nip6,날,7,0
2238,捐,平,仙,ywen,L,juān,gyun1,연,7,1
2239,捕,去,暮,bu,H,bǔ,bou6,포,4,0
2240,捜,平,尤,srjuw,L,sōu,sau1,수,14,1
2241,换,去,換,hwan,H,huàn,wun6,환,7,0
2242,捧,上,腫,phjowng,X,pěng,pung2,봉,1,0
2243,捨,上,馬,syae,X,shě,se2,사,10,0
2244,捩,去,霽,lej,H,liè,lit6,열,5,0
2245,捫,平,魂,mwon,L,mén,mun4,문,6,1
2246,捭,上,蟹,pea,X,bǎi,baai2,패,5,0
2247,据,平,魚,kjo,L,jù,geoi3,거,4,1
2248,捲,平,仙,gjwen,L,juǎn,gyun2,권,7,1
2249,捶,平,支,trjwe,L,chúi,ceoi4,추,3,1
2250,捷,入,葉,dzjep,E,jié,zit6,첩,16,0
2251,捺,入,曷,nat,E,nà,naat6,날,7,0
2252,捻,入,怗,nep,E,niǎn,nim2,염,16,0
2253,掀,平,元,xjon,L,xiān,hin1,흔,6,1
2254,掁,平,庚,draeng,L,chéng,caang4,쟁,12,1
2255,掃,上,晧,saw,X,sǎo,sou3,소,8,0
2256,掄,平,諄,lwin,L,lūn,leon4,윤,6,1
2257,掇,入,末,twat,E,duó,zyut3,철,7,0
2258,授,去,宥,dzyuw,H,shòu,sau6,수,14,0
2259,掉,上,篠,dew,X,diào,diu6,도,8,0
2260,掊,平,肴,baew,L,póu,pau2,부,8,1
2261,掌,上,養,tsyang,X,zhǎng,zoeng2,장,11,0
2262,掎,平,支,kje,L,jǐ,gei2,기,3,1
2263,掏,平,豪,thaw,L,tāo,tou4,도,8,1
2264,掐,入,洽,kheap,E,qiā,haap3,겹,16,0
2265,排,平,皆,beaj,L,pái,paai4,배,5,1
2266,掖,入,昔,yek,E,yè,jik6,액,12,0
2267,掘,入,物,gjut,E,jué,gwat6,굴,6,0
2268,掛,去,卦,kwea,H,guà,gwaa3,괘,5,0
2269,掞,去,豔,syem,H,shàn,sim3,섬,16,0
2270,掠,去,漾,ljang,H,lvè,loek6,약,11,0
2271,採,上,海,tshoj,X,cǎi,coi2,채,5,0
2272,探,平,覃,thom,L,tàn,taam3,탐,16,1
2273,掣,去,祭,tsyhej,H,chè,zai3,체,5,0
2274,掤,平,蒸,ping,L,bīng,bing1,붕,13,1
2275,接,入,葉,tsjep,E,jiē,zip3,접,16,0
2276,控,平,江,khaewng,L,kòng,hung3,공,2,1
2277,推,平,脂,tsyhwij,L,tūi,teoi1,추,3,1
2278,掩,上,敢,'am,X,yǎn,jim2,엄,16,0
2279,措,去,暮,tshu,H,cuò,cou3,조,4,0
2280,掬,入,屋,kjuwk,E,jú,guk1,국,1,0
2281,掲,去,祭,khjej,H,jiē,kit3,게,5,0
2282,掾,去,線,ywen,H,yuàn,jyun6,연,7,0
2283,揀,上,產,kean,X,jiǎn,gaan2,간,7,0
2284,揄,平,虞,yu,L,yú,jyu4,유,4,1
2285,揆,上,旨,gjwij,X,kúi,kwai4,규,3,0
2286,揉,平,尤,nyuw,L,róu,jau4,유,14,1
2287,揎,平,仙,sjwen,L,xuān,syun1,선,7,1
2288,描,平,宵,mjew,L,miáo,miu4,묘,8,1
2289,提,平,支,dzye,L,tí,tai4,제,3,1
2290,揑,入,屑,net,E,niē,nip6,열,7,0
2291,插,入,洽,tsrheap,E,chā,caap3,삽,16,0
2292,揕,去,沁,trim,H,zhèn,zam3,침,15,0
2293,揖,入,緝,'jip,E,yī,jap1,읍,15,0
2294,揚,平,陽,yang,L,yáng,joeng4,양,11,1
2295,換,去,換,hwan,H,huàn,wun6,환,7,0
2296,揜,上,敢,'am,X,yǎn,jim2,엄,16,0
2297,揠,入,鎋,'eat,E,yà,aat3,알,7,0
2298,握,入,覺,'aewk,E,wò,ak1,악,2,0
2299,揣,上,紙,tsrhjwe,X,chuǎi,ceoi2,췌,3,0
2300,揩,平,皆,kheaj,L,kāi,haai1,개,5,1
2301,揫,平,尤,tsjuw,L,jīu,zau1,추,14,1
2302,揭,去,祭,khjej,H,jiē,kit3,게,5,0
2303,揮,平,微,xjw+j,L,hūi,fai1,휘,3,1
2304,揲,入,薛,zyet,E,shé,sit3,설,7,0
2305,揳,入,屑,set,E,xiè,sit3,설,7,0
2306,援,平,元,hjwon,L,yuán,wun4,원,6,1
2307,揷,入,洽,tsrheap,E,chā,caap3,삽,16,0
2308,揸,平,麻,nrae,L,zhā,zaa1,사,10,1
2309,揺,平,宵,yew,L,yáo,jiu4,요,8,1
2310,揾,上,吻,'jun,X,wèn,wan2,온,6,0
2311,搆,去,候,kuw,H,gòu,kau3,구,14,0
2312,搊,平,虞,tsrju,L,chōu,cau1,추,4,1
2313,損,上,混,swon,X,sǔn,syun2,손,6,0
2314,搏,去,遇,pju,H,bó,bok3,박,4,0
2315,搓,平,歌,tsha,L,cuō,co1,차,9,1
2316,搔,平,豪,saw,L,sāo,sou1,소,8,1
2317,搖,平,宵,yew,L,yáo,jiu4,요,8,1
2318,搗,上,晧,taw,X,dǎo,dou2,도,8,0
2319,搜,平,尤,srjuw,L,sōu,sau1,수,14,1
2320,搢,去,震,tsin,H,jìn,zeon3,진,6,0
2321,搥,平,灰,twoj,L,chúi,ceoi4,추,5,1
2322,搦,入,覺,nraewk,E,nuò,nik1,익,2,0
2323,搧,平,仙,syen,L,shān,sin3,선,7,1
2324,搨,入,盍,thap,E,tà,taap3,탑,16,0
2325,搬,平,桓,ban,L,bān,bun1,반,7,1
2326,搭,入,合,top,E,dā,daap3,탑,16,0
2327,搯,平,豪,thaw,L,tāo,tou1,도,8,1
2328,搰,入,沒,hwot,E,hú,wat6,골,6,0
2329,搴,上,獮,kjen,X,qiān,hin1,건,7,0
2330,搶,平,陽,tshjang,L,qiǎng,coeng2,창,11,1
2331,携,平,齊,hwej,L,xié,kwai4,휴,5,1
2332,摇,平,宵,yew,L,yáo,jiu4,요,8,1
2333,摐,平,鍾,tshjowng,L,chuāng,cung1,창,1,1
2334,摑,入,麥,kweak,E,guó,gwaak3,괵,12,0
2335,摘,入,麥,treak,E,zhāi,zaak6,적,12,0
2336,摛,平,支,trhje,L,chī,ci1,이,3,1
2337,摝,入,屋,luwk,E,lù,luk6,녹,1,0
2338,摟,平,虞,lju,L,lǒu,lau1,누,4,1
2339,摠,上,董,tsuwng,X,zǒng,zung2,총,1,0
2340,摧,平,灰,dzwoj,L,cūi,ceoi1,최,5,1
2341,摩,平,戈,ma,L,mó,mo1,마,9,1
2342,摭,入,鐸,thak,E,zhí,zek3,척,11,0
2343,摮,平,豪,ngaw,L,áo,ngou4,오,8,1
2344,摯,去,至,tsyij,H,zhì,zi3,지,3,0
2345,摳,平,虞,khju,L,kōu,kau1,구,4,1
2346,摴,平,魚,trhjo,L,shū,syu1,저,4,1
2347,摵,入,屋,srjuwk,E,suǒ,saak3,색,1,0
2348,摶,平,桓,dwan,L,tuán,tyun4,단,7,1
2349,摸,平,模,mu,L,mō,mo2,모,4,1
2350,摺,入,合,lop,E,zhé,zip3,접,16,0
2351,摻,平,咸,sream,L,shǎn,caam1,섬,16,1
2352,摽,平,宵,phjiew,L,piāo,biu1,표,8,1
2353,撃,入,錫,kek,E,jí,gik1,격,12,0
2354,撅,入,物,gjut,E,juē,kyut3,궤,6,0
2355,撆,入,屑,phet,E,piē,pit3,내,7,0
2356,撇,入,屑,phet,E,piē,pit3,별,7,0
2357,撈,平,豪,law,L,lāo,laau4,노,8,1
2358,撓,平,豪,xaw,L,náo,naau4,요,8,1
2359,撕,平,齊,sej,L,sī,si1,서,5,1
2360,撙,上,混,tswon,X,zǔn,zyun2,준,6,0
2361,撚,上,銑,nen,X,niǎn,nan2,연,7,0
2362,撝,平,支,xjwe,L,hūi,fai1,휘,3,1
2363,撞,平,江,draewng,L,zhuàng,zong6,당,2,1
2364,撤,入,薛,drjet,E,chè,cit3,철,7,0
2365,撥,入,末,pat,E,bō,but6,발,7,0
2366,撦,上,馬,tsyhae,X,chě,ce2,차,10,0
2367,撩,平,蕭,lew,L,liāo,liu4,요,8,1
2368,撫,上,麌,phju,X,fǔ,fu2,무,4,0
2369,播,去,過,pa,H,bō,bo3,파,9,0
2370,撮,入,末,tswat,E,cuō,cyut3,촬,7,0
2371,撰,上,潸,dzrwaen,X,zhuàn,zaan6,찬,7,0
2372,撲,入,屋,phuwk,E,pū,pok3,박,1,0
2373,撻,入,曷,that,E,tà,taat3,달,7,0
2374,撼,上,感,hom,X,hàn,ham6,감,16,0
2375,撿,上,琰,ljem,X,jiǎn,gim2,검,16,0
2376,擁,上,腫,'jowng,X,yōng,jung2,옹,1,0
2377,擅,去,線,dzyen,H,shàn,sin6,천,7,0
2378,擇,入,陌,draek,E,zé,zaak6,택,12,0
2379,擊,入,錫,kek,E,jī,gik1,격,12,0
2380,操,平,豪,tshaw,L,cāo,cou1,조,8,1
2381,擎,平,庚,gjaeng,L,qíng,king4,경,12,1
2382,擒,平,侵,gim,L,qín,kam4,금,15,1
2383,擔,平,談,tam,L,dān,daam1,담,16,1
2384,擗,入,昔,bjiek,E,pì,pik1,벽,12,0
2385,擘,入,麥,peak,E,bò,maak3,벽,12,0
2386,據,平,魚,kjo,L,jù,geoi3,거,4,1
2387,擠,平,齊,tsej,L,jǐ,zai1,제,5,1
2388,擡,平,咍,doj,L,tái,toi4,대,5,1
2389,擢,入,覺,draewk,E,zhuó,zok6,탁,2,0
2390,擣,上,晧,taw,X,dǎo,dou2,도,8,0
2391,擥,平,談,lam,L,lǎn,laam5,남,16,1
2392,擧,平,魚,yo,L,jǔ,geoi2,거,4,1
2393,擨,平,麻,yae,L,yé,je4,야,10,1
2394,擬,上,止,ngi,X,nǐ,ji5,의,3,0
2395,擯,去,震,pjin,H,bìn,ban3,빈,6,0
2396,擲,入,昔,drjek,E,zhì,zaak6,척,12,0
2397,擴,去,宕,hwang,H,kuò,kwok3,확,11,0
2398,擷,入,屑,het,E,xié,kit3,힐,7,0
2399,擸,入,盍,lap,E,liè,laap3,엽,16,0
2400,擺,上,蟹,pea,X,bǎi,baai2,파,5,0
2401,擻,上,厚,suw,X,sǒu,sau2,수,14,0
2402,擾,上,小,nyew,X,rǎo,jiu2,요,8,0
2403,擿,入,昔,drjek,E,zhí,tik1,적,12,0
2404,攀,平,刪,paen,L,pān,paan1,반,7,1
2405,攂,去,隊,lwoj,H,lèi,leoi4,뇌,5,0
2406,攄,平,魚,trhjo,L,shū,syu1,터,4,1
2407,攅,去,翰,tsan,H,zǎn,cyun4,찬,7,0
2408,攏,上,董,luwng,X,lǒng,lung5,농,1,0
2409,攔,平,寒,lan,L,lán,laan4,난,7,1
2410,攖,平,清,'jieng,L,yīng,jing1,영,12,1
2411,攘,平,陽,nyang,L,ràng,joeng4,양,11,1
2412,攙,平,咸,dzream,L,chān,caam1,참,16,1
2413,攜,平,齊,hwej,L,xié,kwai4,휴,5,1
2414,攝,入,葉,syep,E,shè,sip3,섭,16,0
2415,攢,去,翰,tsan,H,zǎn,cyun4,찬,7,0
2416,攣,平,仙,ljwen,L,luán,lyun4,연,7,1
2417,攤,平,寒,than,L,tān,taan1,탄,7,1
2418,攪,上,巧,kaew,X,jiǎo,gaau2,교,8,0
2419,攫,入,藥,kjwak,E,jué,fok3,확,11,0
2420,攬,平,談,lam,L,lǎn,laam5,남,16,1
2421,支,平,支,tsye,L,zhī,zi1,지,3,1
2422,攲,平,支,khje,L,qī,kei1,기,3,1
2423,收,平,尤,syuw,L,shōu,sau1,수,14,1
2424,攸,平,尤,yuw,L,yōu,jau4,유,14,1
2425,改,上,海,koj,X,gǎi,goi2,개,5,0
2426,攻,平,東,kuwng,L,gōng,gung1,공,1,1
2427,攽,平,眞,pin,L,bān,baan1,반,6,1
2428,放,上,養,pjang,X,fàng,fong3,방,11,0
2429,政,去,勁,tsyeng,H,zhèng,zing3,정,12,0
2430,敂,上,厚,kuw,X,kòu,kau3,구,14,0
2431,故,去,暮,ku,H,gù,gu3,고,4,0
2432,效,去,效,haew,H,xiào,haau6,효,8,0
2433,敎,平,肴,kaew,L,jiào,gaau3,교,8,1
2434,敏,上,軫,min,X,mǐn,man5,민,6,0
2435,救,去,宥,kjuw,H,jìu,gau3,구,14,0
2436,敔,上,語,ngjo,X,yǔ,jyu5,어,4,0
2437,敕,去,代,loj,H,chì,cik1,칙,5,0
2438,敖,平,豪,ngaw,L,áo,ngou4,오,8,1
2439,敗,去,夬,baej,H,bài,baai6,패,5,0
2440,敘,上,語,zjo,X,xù,zeoi6,서,4,0
2441,教,平,肴,kaew,L,jiào,gaau3,교,8,1
2442,敝,去,祭,bjiej,H,bì,bai6,폐,5,0
2443,敞,上,養,tsyhang,X,chǎng,cong2,창,11,0
2444,敢,上,敢,kam,X,gǎn,gam2,감,16,0
2445,散,上,旱,san,X,sàn,saan3,산,7,0
2446,敦,平,灰,twoj,L,dūn,deon1,돈,5,1
2447,敬,去,映,kjaeng,H,jìng,ging3,경,12,0
2448,敭,平,陽,yang,L,yáng,joeng4,양,11,1
2449,数,上,麌,srju,X,shù,sou3,수,4,0
2450,敲,平,肴,khaew,L,qiāo,haau1,고,8,1
2451,整,上,靜,tsyeng,X,zhěng,zing2,정,12,0
2452,敵,入,黠,hwaet,E,dí,dik6,적,7,0
2453,敷,平,虞,phju,L,fū,fu1,부,4,1
2454,數,上,麌,srju,X,shù,sou3,수,4,0
2455,敺,平,虞,khju,L,qū,keoi1,구,4,1
2456,敻,去,霰,xwen,H,xiòng,hing3,현,7,0
2457,斁,去,暮,du,H,yì,jik6,두,4,0
2458,斂,平,談,xam,L,liǎn,lim5,염,16,1
2459,斃,去,祭,bjiej,H,bì,bai6,폐,5,0
2460,文,平,文,mjun,L,wén,man4,문,6,1
2461,斐,上,尾,phj+j,X,fěi,fei2,비,3,0
2462,斑,平,刪,paen,L,bān,baan1,반,7,1
2463,斒,平,刪,paen,L,bān,baan1,반,7,1
2464,斕,平,山,lean,L,lán,laan4,난,7,1
2465,斗,上,厚,tuw,X,dǒu,dau3,두,14,0
2466,料,平,蕭,lew,L,liào,liu6,요,8,1
2467,斚,上,馬,kae,X,jiǎ,gaa2,가,10,0
2468,斛,入,屋,huwk,E,hú,huk6,곡,1,0
2469,斜,平,麻,yae,L,xié,ce4,사,10,1
2470,斝,上,馬,kae,X,jiǎ,gaa2,가,10,0
2471,斟,平,侵,tsyim,L,zhēn,zam1,짐,15,1
2472,斡,入,末,'wat,E,wò,waat3,알,7,0
2473,斤,平,欣,kj+n,L,jīn,gan1,근,6,1
2474,斥,去,禡,tsyhae,H,chì,cik1,척,10,0
2475,斧,上,麌,pju,X,fǔ,fu2,부,4,0
2476,斫,入,藥,tsyak,E,zhuó,zoek3,작,11,0
2477,斬,上,豏,tsream,X,zhǎn,zaam2,참,16,0
2478,斮,入,覺,tsraewk,E,zhuó,zoek3,착,2,0
2479,斯,平,支,sje,L,sī,si1,사,3,1
2480,新,平,眞,sin,L,xīn,san1,신,6,1
2481,斲,入,覺,traewk,E,zhuó,zoek3,착,2,0
2482,斵,入,覺,traewk,E,zhuó,zoek3,착,2,0
2483,斷,上,緩,twan,X,duàn,dyun6,단,7,0
2484,斸,入,燭,trjowk,E,zhǔ,zuk1,촉,1,0
2485,方,平,陽,bjang,L,fāng,fong1,방,11,1
2486,於,平,魚,'jo,L,yú,jyu1,어,4,1
2487,施,平,支,sye,L,shī,si1,시,3,1
2488,斾,去,泰,baj,H,pèi,pui3,패,5,0
2489,斿,平,尤,yuw,L,yóu,jau4,유,14,1
2490,旁,平,唐,bang,L,páng,pong4,방,11,1
2491,旂,平,之,gi,L,qí,kei4,기,3,1
2492,旃,平,仙,tsyen,L,zhān,zin1,전,7,1
2493,旄,平,豪,maw,L,máo,mou4,모,8,1
2494,旅,上,語,ljo,X,lv̌,leoi5,여,4,0
2495,旆,去,泰,baj,H,pèi,pui3,패,5,0
2496,旋,平,仙,zjwen,L,xuán,syun4,선,7,1
2497,旌,平,清,tsjeng,L,jīng,zing1,정,12,1
2498,旍,平,清,tsjeng,L,jīng,zing1,정,12,1
2499,旎,上,紙,nrje,X,nǐ,nei5,이,3,0
2500,族,入,屋,dzuwk,E,zú,zuk6,족,1,0
2501,旐,上,小,drjew,X,zhào,siu6,조,8,0
2502,旒,平,尤,ljuw,L,líu,lau4,유,14,1
2503,旔,去,願,kjon,H,jiàn,gin3,건,6,0
2504,旖,平,支,'je,L,yǐ,ji2,의,3,1
2505,旗,平,之,gi,L,qí,kei4,기,3,1
2506,旛,平,元,bjon,L,fān,faan1,번,6,1
2507,旜,平,仙,tsyen,L,zhān,zin1,전,7,1
2508,旞,去,至,zwij,H,sùi,seoi6,수,3,0
2509,旟,平,魚,yo,L,yú,jyu4,여,4,1
2510,无,平,虞,mju,L,wú,mou4,무,4,1
2511,既,去,未,kj+j,H,jì,gei3,기,3,0
2512,日,入,質,nyit,E,rì,jat6,일,6,0
2513,旦,去,翰,tan,H,dàn,daan3,단,7,0
2514,旨,上,旨,tsyij,X,zhǐ,zi2,지,3,0
2515,早,上,晧,tsaw,X,zǎo,zou2,조,8,0
2516,旬,平,諄,zwin,L,xún,ceon4,순,6,1
2517,旭,入,燭,xjowk,E,xù,juk1,욱,1,0
2518,旰,去,翰,kan,H,gàn,gon3,간,7,0
2519,旱,上,旱,han,X,hàn,hon5,한,7,0
2520,旴,平,虞,xju,L,xū,heoi1,우,4,1
2521,旹,平,之,dzyi,L,shí,si4,시,3,1
2522,旺,去,漾,hjwang,H,wàng,wong6,왕,11,0
2523,旻,平,眞,min,L,mín,man4,민,6,1
2524,旼,平,眞,min,L,mín,man4,민,6,1
2525,昂,平,唐,ngang,L,áng,ngong4,앙,11,1
2526,昆,平,魂,kwon,L,kūn,kwan1,곤,6,1
2527,昇,平,蒸,sying,L,shēng,sing1,승,13,1
2528,昉,上,養,pjang,X,fǎng,fong2,방,11,0
2529,昊,上,晧,haw,X,hào,hou6,호,8,0
2530,昌,平,陽,tsyhang,L,chāng,coeng1,창,11,1
2531,明,平,庚,mjaeng,L,míng,ming4,명,12,1
2532,昏,平,魂,xwon,L,hūn,fan1,혼,6,1
2533,易,去,寘,ye,H,yì,ji6,역,3,0
2534,昔,入,昔,sjek,E,xī,sik1,석,12,0
2535,昕,平,欣,xj+n,L,xīn,jan1,흔,6,1
2536,昜,平,陽,yang,L,yáng,joeng4,양,11,1
2537,昝,上,感,tsom,X,zǎn,zaan2,잠,16,0
2538,星,平,青,seng,L,xīng,sing1,성,12,1
2539,映,上,蕩,'ang,X,yìng,jing2,영,11,0
2540,春,平,諄,tsyhwin,L,chūn,ceon1,춘,6,1
2541,昧,去,隊,mwoj,H,mèi,mui6,매,5,0
2542,昨,入,鐸,dzak,E,zuó,zok6,작,11,0
2543,昩,入,末,mat,E,mò,mut6,말,7,0
2544,昫,去,遇,xju,H,xǔ,heoi2,구,4,0
2545,昭,平,宵,tsyew,L,zhāo,ciu1,소,8,1
2546,是,上,紙,dzye,X,shì,si6,시,3,0
2547,昱,入,屋,yuwk,E,yù,juk1,욱,1,0
2548,昲,去,未,phj+j,H,fèi,fai3,비,3,0
2549,昳,入,屑,det,E,dié,dit6,질,7,0
2550,昴,上,巧,maew,X,mǎo,maau5,묘,8,0
2551,昵,入,質,nrit,E,nì,nik1,일,6,0
2552,昶,上,養,trhjang,X,chǎng,cong2,창,11,0
2553,昻,平,唐,ngang,L,áng,ngong4,앙,11,1
2554,晁,平,宵,trjew,L,cháo,ciu4,조,8,1
2555,時,平,之,dzyi,L,shí,si4,시,3,1
2556,晃,上,蕩,hwang,X,huǎng,fong2,황,11,0
2557,晉,去,震,tsin,H,jìn,zeon3,진,6,0
2558,晋,去,震,tsin,H,jìn,zeon3,진,6,0
2559,晏,去,翰,'an,H,yàn,aan3,안,7,0
2560,晒,去,寘,srje,H,shài,saai3,쇄,3,0
2561,晚,上,阮,mjon,X,wǎn,maan5,만,6,0
2562,晛,上,銑,hen,X,xiàn,jin5,현,7,0
2563,晝,去,宥,trjuw,H,zhòu,zau3,주,14,0
2564,晞,平,微,xj+j,L,xī,hei1,희,3,1
2565,晟,去,勁,dzyeng,H,shèng,sing4,성,12,0
2566,晡,平,模,pu,L,bū,bou1,포,4,1
2567,晢,去,祭,tsyej,H,zhé,zit3,절,5,0
2568,晤,去,暮,ngu,H,wù,ng6,오,4,0
2569,晦,去,隊,xwoj,H,hùi,fui3,회,5,0
2570,晨,平,眞,dzyin,L,chén,san4,신,6,1
2571,晩,上,阮,mjon,X,wǎn,maan5,만,6,0
2572,晬,去,隊,tswoj,H,zùi,zeoi3,수,5,0
2573,普,上,姥,phu,X,pǔ,pou2,보,4,0
2574,景,上,梗,kjaeng,X,jǐng,ging2,경,12,0
2575,晴,平,清,dzjeng,L,qíng,cing4,청,12,1
2576,晶,平,清,tsjeng,L,jīng,zing1,정,12,1
2577,晷,上,旨,kwij,X,gǔi,gwai2,귀,3,0
2578,晹,入,昔,syek,E,yì,sik1,역,12,0
2579,智,去,寘,trje,H,zhì,zi3,지,3,0
2580,晻,上,感,'om,X,ǎn,am2,암,16,0
2581,晼,上,阮,'jwon,X,wǎn,jyun2,원,6,0
2582,暄,平,元,xjwon,L,xuān,hyun1,훤,6,1
2583,暇,去,禡,hae,H,xiá,haa6,가,10,0
2584,暈,去,問,hjun,H,yūn,wan4,훈,6,0
2585,暉,平,微,xjw+j,L,hūi,fai1,휘,3,1
2586,暍,入,月,'jot,E,hè,hot3,갈,6,0
2587,暎,上,蕩,'ang,X,yìng,jing2,영,11,0
2588,暑,上,語,syo,X,shǔ,syu2,서,4,0
2589,暖,平,元,xjwon,L,nuǎn,nyun5,난,6,1
2590,暗,上,感,'om,X,àn,am3,암,16,0
2591,暘,平,陽,yang,L,yáng,joeng4,양,11,1
2592,暝,平,青,meng,L,míng,ming4,명,12,1
2593,暢,上,養,trhjang,X,chàng,coeng3,창,11,0
2594,暨,去,至,gij,H,jì,kei3,기,3,0
2595,暫,去,闞,dzam,H,zàn,zaam6,잠,16,0
2596,暮,去,暮,mu,H,mù,mou6,모,4,0
2597,暱,入,質,nrit,E,nì,nik1,일,6,0
2598,暴,去,号,baw,H,bào,bou6,폭,8,0
2599,暵,上,旱,xan,X,hàn,hon3,한,7,0
2600,暹,平,鹽,sjem,L,xiān,cim3,섬,16,1
2601,暾,平,魂,thwon,L,tūn,tan1,돈,6,1
2602,曀,去,霽,'ej,H,yì,ai3,에,5,0
2603,曄,入,緝,hip,E,yè,jip6,엽,15,0
2604,曆,入,錫,lek,E,lì,lik6,역,12,0
2605,曇,平,覃,dom,L,tán,taam4,담,16,1
2606,曈,平,東,duwng,L,tóng,tung4,동,1,1
