,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
6917,鉸,平,肴,kaew,L,jiǎo,gaau2,교,8,1
6918,銀,平,眞,ngin,L,yín,ngan4,은,6,1
6919,銅,平,東,duwng,L,tóng,tung4,동,1,1
6920,銓,平,仙,tshjwen,L,quán,cyun4,전,7,1
6921,銕,平,齊,dej,L,tiě,tit3,철,5,1
6922,銖,平,虞,dzyu,L,zhū,zyu1,수,4,1
6923,銘,平,青,meng,L,míng,ming4,명,12,1
6924,銙,上,馬,khwae,X,kuǎ,kwaa1,과,10,0
6925,銚,平,蕭,thew,L,yáo,diu6,조,8,1
6926,銛,平,鹽,sjem,L,xiān,cim1,섬,16,1
6927,銜,平,銜,haem,L,xián,haam4,함,16,1
6928,銳,去,祭,ywej,H,rùi,jeoi6,예,5,0
6929,銷,平,宵,sjew,L,xiāo,siu1,소,8,1
6930,銼,平,戈,dzwa,L,cuò,co3,좌,9,1
6931,鋋,平,仙,yen,L,chán,sin4,연,7,1
6932,鋌,上,迥,deng,X,tǐng,ding3,정,12,0
6933,鋏,入,怗,kep,E,jiá,gaap3,협,16,0
6934,鋒,平,鍾,phjowng,L,fēng,fung1,봉,1,1
6935,鋙,平,魚,ngjo,L,wú,jyu5,어,4,1
6936,鋟,平,鹽,tsjem,L,qiān,cim1,침,16,1
6937,鋤,平,魚,dzrjo,L,chú,co4,서,4,1
6938,鋩,平,陽,mjang,L,máng,mong4,망,11,1
6939,鋪,平,虞,phju,L,pū,pou1,포,4,1
6940,鋭,去,祭,ywej,H,rùi,jeoi6,예,5,0
6941,鋸,去,御,kjo,H,jù,geoi3,거,4,0
6942,鋹,上,養,trhjang,X,chǎng,cong2,창,11,0
6943,鋼,平,唐,kang,L,gāng,gong3,강,11,1
6944,錄,入,燭,ljowk,E,lù,luk6,녹,1,0
6945,錐,平,脂,tsywij,L,zhūi,zeoi1,추,3,1
6946,錕,平,魂,kwon,L,kūn,kwan1,곤,6,1
6947,錘,平,支,drjwe,L,chúi,ceoi4,추,3,1
6948,錙,平,之,tsri,L,zī,zi1,치,3,1
6949,錚,平,耕,tsrheang,L,zhēng,zang1,쟁,12,1
6950,錠,去,徑,deng,H,dìng,ding3,정,12,0
6951,錡,平,支,gje,L,qí,kei4,기,3,1
6952,錢,平,仙,dzjen,L,qián,cin4,전,7,1
6953,錦,上,寑,kim,X,jǐn,gam2,금,15,0
6954,錫,入,錫,sek,E,xí,sek3,석,12,0
6955,錮,去,暮,ku,H,gù,gu3,고,4,0
6956,錯,去,暮,tshu,H,cuò,co3,착,4,0
6957,録,入,燭,ljowk,E,lù,luk6,녹,1,0
6958,鍊,去,霰,len,H,liàn,lin6,연,7,0
6959,鍋,平,戈,kwa,L,guō,wo1,과,9,1
