,char
1829,幸
1830,幹
1831,幺
1832,幻
1833,幼
1834,幽
1835,幾
1836,庇
1837,庉
1838,床
1839,序
1840,底
1841,庖
1842,店
1843,庚
1844,府
1845,庠
1846,度
1847,座
1848,庫
1849,庭
1850,庳
1851,庵
1852,庶
1853,康
1854,庸
1855,庾
1856,廁
1857,廂
1858,廄
1859,廇
1860,廈
1861,廉
1862,廊
1863,廋
1864,廌
1865,廐
1866,廑
1867,廓
1868,廕
1869,廖
1870,廚
1871,廛
1872,廜
1873,廝
1874,廟
1875,廠
1876,廡
1877,廢
1878,廣
1879,廥
1880,廧
1881,廨
1882,廩
1883,廪
1884,廬
1885,廱
1886,廳
1887,延
1888,廷
1889,廹
1890,建
1891,廻
1892,廼
1893,廽
1894,廿
1895,弁
1896,异
1897,弃
1898,弄
1899,弈
1900,弊
1901,弋
1902,式
1903,弒
1904,弓
1905,弔
1906,引
1907,弗
1908,弘
1909,弛
1910,弝
1911,弟
1912,弢
1913,弦
1914,弧
1915,弨
1916,弩
1917,弭
1918,弮
1919,弰
1920,弱
1921,張
1922,強
1923,弹
1924,强
1925,弼
1926,彀
1927,彈
1928,彊
1929,彌
1930,彎
1931,录
1932,彖
1933,彗
1934,彘
1935,彙
1936,彛
1937,彜
1938,彝
1939,彡
1940,形
1941,彤
1942,彥
1943,彦
1944,彧
1945,彩
1946,彪
1947,彫
1948,彬
1949,彭
1950,彯
1951,彰
1952,影
1953,彴
1954,彷
1955,役
1956,彼
1957,彿
1958,往
1959,征
1960,徂
1961,徃
1962,径
1963,待
1964,徇
1965,很
1966,徉
1967,徊
1968,律
1969,後
1970,徐
1971,徑
1972,徒
1973,従
1974,得
1975,徘
1976,徙
1977,徜
1978,從
1979,徠
1980,御
1981,徤
1982,徧
1983,徨
1984,復
1985,循
1986,徬
1987,徭
1988,微
1989,徯
1990,徴
1991,徵
1992,德
1993,徹
1994,徼
1995,徽
1996,心
1997,必
1998,忉
1999,忌
2000,忍
2001,忒
2002,忓
2003,忖
2004,志
2005,忘
2006,忙
2007,忝
2008,忠
2009,忡
2010,忤
2011,忪
2012,快
2013,忮
2014,忱
2015,念
2016,忸
2017,忺
2018,忻
2019,忽
2020,忿
2021,怊
2022,怍
2023,怎
2024,怏
2025,怒
2026,怔
2027,怕
2028,怖
2029,怗
2030,怙
2031,怛
2032,怜
2033,思
2034,怠
2035,怡
2036,急
